t_sim_s,x,y,phi,v,delta,ref_idx,a_raw,a
537.2279,47.79908752441406,76.3827133178711,4.608615446400335,4.093182596284082,0.2050286460628757,1536,0.0120390664088606,-0.004210193615460385
537.3215,47.79363250732422,75.9993896484375,4.632297606393864,4.094241019615104,0.2180816475857331,1541,-0.004357619649184927,-0.0020522262580744883
537.4152,47.79926681518555,75.61463165283203,4.65744663551581,4.09236641412379,0.2302486383970292,1546,-0.01396483046910942,0.006506308357589096
537.5364,47.823543548583984,75.12283325195312,4.691539358526568,4.091239977547293,0.247237804585732,1551,0.006315023460471859,0.011338040569268513
537.6247,47.854095458984375,74.7642822265625,-1.5651690674115593,4.093689411538758,0.260886735150922,1556,0.022254845306349403,0.009747973336993898
537.7208,47.90081024169922,74.37371063232422,-1.53451262115533,4.095343771021786,0.275589346326857,1560,0.0002886922735162871,0.007992153715703004
537.8336,47.97337341308594,73.91801452636719,-1.4968520612321925,4.093749719354696,0.2882892943909877,1566,-0.0013615430452180756,0.008412861941045093
537.9327,48.05242538452149,73.52333068847656,-1.4628778488899423,4.095055260050504,0.2913217164797122,1571,0.04664797692066795,0.003964122239632692
538.0196,48.13339614868164,73.1778335571289,-1.43280756438964,4.102426243061936,0.2904982952484327,1575,0.029108080382301487,-0.0034533226030371866
538.1125,48.23125457763672,72.8095474243164,-1.4010283294178334,4.100288892903242,0.278909956743929,1579,-0.04692726546939111,-0.010701985828071215
538.2254,48.36255645751953,72.36839294433594,-1.3644753781920598,4.092768611828332,0.2601578171168914,1585,-0.04785670731836901,-0.01796571526424623
538.3135,48.47307586669922,72.02642059326172,-1.3383082225853773,4.090669694732249,0.2339030047600009,1589,0.00012839735604635422,-0.02159892253462098
538.4326,48.63249588012695,71.564697265625,-1.306273324148923,4.092795215760505,0.2121196081770888,1595,-0.011387380055713655,-0.020142635654966712
538.521,48.75776672363281,71.22687530517578,-1.2837640202994645,4.088306813370688,0.2115281576141481,1599,-0.06277533793330083,-0.01885468411366224
538.6153,48.89894485473633,70.87197875976562,-1.2597851841605,4.081326161520087,0.2159663124863013,1604,-0.033910708564350224,-0.01808191828369511
538.7236,49.07340621948242,70.46685028076172,-1.2313325037063114,4.0814365038155485,0.2250289524605911,1609,0.012614626867750054,-0.010590748149600317
